ID missa,Paróquia,Arquidiocese,Decanato,Cidade,Dia,Horário,Observação
161,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,Todo dia 29,19h30,Missa de São Miguel
162,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Segunda,19h30,
163,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Terça,19h30,
164,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Quarta,19h30,
165,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Quinta,16h00,Missa pelos doentes com unção dos enfermos
166,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Primeira sexta-feira do mês,19h00,Adoração ao Santíssimo seguida a Missa
167,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Sexta,19h30,
168,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Sábado,08h00,
169,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Domingo,07h30,
170,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Domingo,09h30,
171,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,Domingo,19h00,
172,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Segunda,19h00,
173,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Terça,07h00,
174,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Terça,19h00,
175,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Quarta,07h00,
176,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Quarta,10h00,
177,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Quarta,15h00,
178,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Quarta,19h00,
179,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Quinta,07h00,
180,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Quinta,12h10,
181,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Sexta,07h00,
182,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Sexta,19h00,
183,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Sábado,07h00,
184,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Sábado,18h30,
185,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Domingo,07h00,
186,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Domingo,09h00,
187,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Domingo,11h00,
188,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Domingo,16h00,
189,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,Domingo,18h30,
